Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-09-28,227.95,229.3,227.43,,219.04,2100300,
2018-09-27,228.78,229.24,228.61,,218.41,935540,
2018-09-26,229.07,229.34,228.63,,219.66,677901,
2018-09-25,228.77,229.42,228.66,,219.12,769602,
2018-09-24,229.1,229.15,228.473,,219.1,536338,
2018-09-21,228.48,229.01,228.46,,218.81,457266,
2018-09-19,228.9625,229,228.76,,218.87,355076,
2018-09-18,228.81,228.83,228.48,,218.78,377812,
2018-09-17,228.69,229,228.62,,219.5999,381524,
2018-09-14,228.88,228.88,228.13,,220.54,509334,
2018-09-12,228.15,228.59,228.1488,,220.3,378571,
2018-09-11,228.53,228.82,228.44,,221.1,267722,
2018-09-10,228.58,228.8,228.49,,221.4223,300393,
2018-09-07,228.77,228.99,228.76,,221.84,267446,
2018-09-06,228.87,228.8871,228.46,,222.23,345839,
2018-09-05,228.885,228.885,228.57,,222.58,238599,
2018-09-04,228.64,228.65,228.45,,222.615,205303,
2018-09-03,228.4923,228.51,227.92,,222.8,419710,
2018-08-31,227.97,228.1,227.78,,222.76,298572,
2018-08-30,228.074,228.1426,227.6646,,222.765,321436,
2018-08-29,227.755,227.86,227.55,,222.73,232707,
2018-08-28,227.58,227.69,227.41,,223.77,368317,
2018-08-27,227.61,227.93,227.58,,221.19,274964,
2018-08-24,227.92,228.01,227.79,,221.95,257859,
2018-08-23,227.91,227.95,227.7634,,221.71,180786,
2018-08-21,227.87,227.957,227.81,,221.14,167647,
2018-08-20,227.87,227.95,227.59,,221.05,218921,
2018-08-17,227.74,227.77,227.18,,221.04,332887,
2018-08-16,227.28,227.48,227.19,,221.33,212764,
2018-08-14,227.459,227.59,227.29,,220.54,198699,
2018-08-13,227.341,227.3529,226.73,,219.15,491638,
2018-08-10,226.99,227.15,226.83,,219.05,261219,
2018-08-09,226.964,227.1915,226.84,,219.2381,256876,
2018-08-08,227.16,227.27,227.1,,219.8026,225888,
2018-08-07,227.16,227.33,226.96,,220.32,225134,
2018-08-06,227.21,227.3,226.62,,221.54,362271,
2018-08-03,226.79,226.83,226.35,,220.9035,446612,
2018-08-02,226.62,226.97,226.54,,220.94,423021,
2018-08-01,226.89,227.46,226.68,,221.18,1027081,
2018-07-31,227.26,227.26,227.26,,220.4724,1099129,
2018-07-30,227.25,228.2,226.688,,220.4925,1261640,
2018-07-27,227.2237,228.45,226.63,,221.31,870056,
2018-07-26,228.23,229.34,228.1943,,219.785,1118323,
2018-07-25,229.24,229.43,228.83,,220.4,721036,
2018-07-24,228.8538,228.9599,228.56,,219.2796,532159,
2018-07-23,228.7,229.28,228.57,,218.91,521169,
2018-07-20,229.18,229.39,228.85,,219.66,512219,
2018-07-19,228.93,229.07,228.32,,219.1399,459624,
2018-07-18,228.99,229.35,228.99,,218.71,444697,
2018-07-17,229.14,229.18,228.72,,219.51,402278,
2018-07-16,229.03,229.1,228.82,,220.46,226291,
2018-07-13,228.827,229.3596,228.82,,220.2,455211,
2018-07-12,229.25,229.56,229.22,,219.535,658705,
2018-07-11,229.28,229.67,229.13,,219.6,464175,
2018-07-10,229.66,229.85,229.41,,218.715,504132,
2018-07-09,229.81,229.88,229.63,,218.29,369942,
2018-07-06,229.7048,229.73,229.34,,217.7799,304032,
2018-07-05,229.49,229.81,229.4899,,218.03,235287,
2018-07-04,229.75,230,229.72,,216.23,332400,
2018-07-03,229.9284,230,229.38,,215.08,385619,
2018-07-02,229.3928,229.3928,229.03,,215.09,432500,
2018-06-29,229.21,229.38,229.19,,217.58,217226,
2018-06-28,229.2893,229.31,229.0167,,218.6135,257264,
2018-06-27,229.18,229.44,229.15,,218.33,178593,
2018-06-26,229.41,229.6664,229.34,,219.38,254155,
2018-06-25,229.6649,229.84,229.6,,218.7,235122,
2018-06-22,229.7762,229.84,229.38,,219.4402,273908,
2018-06-21,229.5236,229.815,229.4425,,219.15,238936,
2018-06-20,229.814,229.87,229.6,,219.47,223497,
2018-06-19,229.72,230,229.72,,219.14,381179,
2018-06-18,229.865,229.895,229.47,,219.0026,363475,
