date	change	changeOverTime	changePercent	close	high	label	low	open	unadjustedVolume	volume	vwap
2018-04-23	-0.476485	0.0	-0.29	164.03	165.6977	Apr 23, 18	162.8884	165.6131	36515477	36515477	164.3695
2018-04-24	-2.2832	-0.013918795342315372	-1.392	161.7469	165.112	Apr 24, 18	160.0396	164.4569	33692017	33692017	162.4034
2018-04-25	0.704801	-0.009622020362128957	0.436	162.4517	164.2087	Apr 25, 18	161.2207	161.4292	28382084	28382084	163.0155
2018-04-26	0.565827	-0.0061726513442662235	0.348	163.0175	164.5164	Apr 26, 18	162.1737	162.9182	27963014	27963014	163.209
2018-04-27	-1.8861	-0.01767115771505205	-1.157	161.1314	163.1267	Apr 27, 18	159.4538	162.7991	35655839	35655839	161.0727
2018-04-30	2.9185	0.0001213192708651278	1.811	164.0499	166.0352	Apr 30, 18	160.6549	160.943	42427424	42427424	164.3377
2018-05-01	3.8119	0.02336036090958963	2.324	167.8618	167.961	May 1, 18	164.0598	165.1916	53569376	53569376	166.4081
2018-05-02	7.4153	0.06856733524355293	4.418	175.2771	176.4484	May 2, 18	172.5273	173.9419	66539371	66539371	174.8034
2018-05-03	0.317657	0.07050356642077661	0.181	175.5947	176.2002	May 3, 18	173.1637	174.5921	34068180	34068180	174.7906
2018-05-04	6.8892	0.11250320063403038	3.923	182.4839	182.9008	May 4, 18	176.8653	176.9448	56201317	56201317	181.2298
2018-05-07	1.3203	0.12055233798695365	0.723	183.8042	186.2958	May 7, 18	183.3972	183.824	42451423	42451423	184.8701
2018-05-08	0.883484	0.12593793818203988	0.481	184.6876	184.8564	May 8, 18	182.3201	183.6354	28402777	28402777	183.8704
2018-05-09	1.3004	0.13386575626409802	0.704	185.988	186.0277	May 9, 18	183.8637	185.184	23211241	23211241	185.0506
2018-05-10	2.6604	0.15008474059623245	1.43	188.6484	188.976	May 10, 18	186.2759	186.3653	27989289	27989289	187.9455
2018-05-11	-0.717539	0.14571054075474002	-0.38	187.9309	189.3957	May 11, 18	186.7949	188.8277	26212221	26212221	188.0884
2018-05-14	-0.438462	0.14303724928366762	-0.233	187.4924	188.8676	May 14, 18	187.2034	188.3494	20778772	20778772	187.9989
2018-05-15	-1.704	0.13264890568798388	-0.909	185.7884	186.4162	May 15, 18	184.4531	186.1272	23695159	23695159	185.4555
2018-05-16	1.7339	0.14321953301225385	0.933	187.5223	187.8013	May 16, 18	185.3499	185.4197	19183064	19183064	186.9948
2018-05-17	-1.1858	0.13599036761568006	-0.632	186.3365	188.2498	May 17, 18	185.7087	187.3429	17294029	17294029	186.9399
2018-05-18	-0.677623	0.1318588063159179	-0.364	185.6588	187.1538	May 18, 18	185.4795	186.5358	18297728	18297728	186.2811
2018-05-21	1.3154	0.13987807108455766	0.708	186.9742	188.6085	May 21, 18	186.2573	187.3429	18400787	18400787	187.4203
2018-05-22	-0.468357	0.1370231055294763	-0.25	186.5059	188.2199	May 22, 18	186.1272	187.7166	15240704	15240704	186.9291
2018-05-23	1.1958	0.1443132353837712	0.641	187.7017	187.8412	May 23, 18	185.1108	185.6987	20058415	20058415	186.4164
2018-05-24	-0.209266	0.14303724928366762	-0.111	187.4924	188.18	May 24, 18	185.5592	188.1102	23233975	23233975	187.1201
2018-05-25	0.428497	0.14564957629701877	0.229	187.9209	188.9872	May 25, 18	186.9942	187.5721	17460963	17460963	188.2117
2018-05-29	-0.677623	0.14151862464183385	-0.361	187.2433	188.0903	May 29, 18	186.2169	186.9443	22514075	22514075	187.018
2018-05-30	-0.398602	0.13908858135706875	-0.213	186.8447	187.3429	May 30, 18	186.1272	187.0639	18690547	18690547	186.6253
2018-05-31	-0.627799	0.13526123270133517	-0.336	186.2169	187.5721	May 31, 18	185.4894	186.5657	27482793	27482793	186.469
2018-06-01	3.3582	0.15573431689325118	1.803	189.5751	189.595	Jun 1, 18	187.0938	187.3342	23442510	23442510	188.8315
2018-06-04	1.5844	0.1653941352191673	0.836	191.1596	192.744	Jun 4, 18	190.6812	190.9652	26266174	26266174	191.5717
2018-06-05	1.4748	0.1743851734438822	0.772	192.6344	193.2622	Jun 5, 18	191.6877	192.3902	21565963	21565963	192.5226
2018-06-06	0.667658	0.17845516064134603	0.347	193.302	193.4017	Jun 6, 18	191.2492	192.9533	20933619	20933619	192.573
2018-06-07	-0.518183	0.1752965920868133	-0.268	192.7839	193.5213	Jun 7, 18	191.6628	193.4615	21347180	21347180	192.6142
2018-06-08	-1.7538	0.16460403584710115	-0.91	191.03	191.329	Jun 8, 18	189.1068	190.5019	26656799	26656799	190.2792
2018-06-11	-0.468358	0.16174907029201976	-0.245	190.5617	191.2991	Jun 11, 18	189.5452	190.6812	18308460	18308460	190.5187
2018-06-12	1.0463	0.16812778150338353	0.549	191.608	191.9378	Jun 12, 18	190.4819	190.7161	16911141	16911141	191.1191
2018-06-13	-1.5745	0.1585289276351887	-0.822	190.0335	192.2059	Jun 13, 18	189.7744	191.7475	21638393	21638393	190.9047
2018-06-14	0.09965	0.15913674327866845	0.052	190.1332	190.9005	Jun 14, 18	189.5552	190.8805	21610074	21610074	190.2255
2018-06-15	-1.9531	0.14722916539657382	-1.027	188.18	189.4954	Jun 15, 18	187.602	189.3658	61719160	61719160	188.4186
2018-06-18	-0.09965	0.14662195939767114	-0.053	188.0804	188.5587	Jun 18, 18	186.5457	187.2234	18484865	18484865	187.9421
2018-06-19	-3.0393	0.12809242211790522	-1.616	185.041	185.6788	Jun 19, 18	182.8088	184.4929	33578455	33578455	184.5162
2018-06-20	0.80717	0.13301347314515632	0.436	185.8482	186.5457	Jun 20, 18	185.0809	185.6987	20628701	20628701	185.8524
2018-06-21	-1.0364	0.12669511674693656	-0.558	184.8118	187.6917	Jun 21, 18	184.2936	186.5956	25711898	25711898	185.505
2018-06-22	-0.538112	0.12341461927696147	-0.291	184.2737	185.4994	Jun 22, 18	184.0545	185.4695	27200447	27200447	184.6434
2018-06-25	-2.7404	0.10670791928305795	-1.487	181.5333	184.2737	Jun 25, 18	180.0983	182.759	31663096	31663096	181.6959
