symbol	avgTotalVolume	calculationPrice	change	changePercent	close	closeTime	companyName	delayedPrice	delayedPriceTime	extendedChange	extendedChangePercent	extendedPrice	extendedPriceTime	high	iexAskPrice	iexAskSize	iexBidPrice	iexBidSize	iexLastUpdated	iexMarketPercent	iexRealtimePrice	iexRealtimeSize	iexVolume	latestPrice	latestSource	latestTime	latestUpdate	latestVolume	low	marketCap	open	openTime	peRatio	previousClose	primaryExchange	sector	week52High	week52Low	ytdChange
GRUB	1509907	close	-6.11	-0.0528	109.62	2018-10-24 20:03:08.968	GrubHub Inc.	109.62	2018-10-24 20:03:08.968	0.03	0.00027	109.65	2018-10-24 20:55:22.730	117.0	0.0	0.0	0.0	0.0	2018-10-24 19:59:48.245	0.03534	109.48	100.0	120228.0	109.62	Close	2018-10-24 00:00:00	1540411388968	3402037	109.12	9916434355	116.04	2018-10-24 13:30:01.101	80.01	115.73	New York Stock Exchange	Technology	149.349	51.21	0.5712527645242773
HUBB	575704	close	-5.41	-0.05049	101.74	2018-10-24 20:02:55.030	Hubbell Inc	101.74	2018-10-24 20:02:55.030	0.0	0.0	101.74	2018-10-24 20:43:46.402	108.2	0.0	0.0	0.0	0.0	2018-10-24 19:59:54.639	0.12075	101.665	16.0	189520.0	101.74	Close	2018-10-24 00:00:00	1540411375030	1569524	101.58	5572608479	107.27	2018-10-24 13:32:46.124	15.53	107.15	New York Stock Exchange	Technology	149.03	100.55	-0.2367774049592801
SCWX	111435	close	-0.91	-0.05909	14.49	2018-10-24 20:00:00.591	SecureWorks Corp.	14.49	2018-10-24 20:00:00.591	-0.01	-0.00069	14.48	2018-10-24 19:59:49.001	15.5	0.0	0.0	0.0	0.0	2018-10-24 19:59:49.001	0.03203	14.48	23.0	4413.0	14.49	Close	2018-10-24 00:00:00	1540411200591	137777	14.4	1185231502	15.37	2018-10-24 13:30:00.611	-43.91	15.4	Nasdaq Global Select	Technology	15.88	7.83	0.6520211111111112
GDDY	1729402	close	-4.36	-0.05872	69.89	2018-10-24 20:02:02.042	GoDaddy Inc. Class A	69.89	2018-10-24 20:02:02.042	0.0	0.0	69.89	2018-10-24 20:41:17.000	74.75	0.0	0.0	0.0	0.0	2018-10-24 19:59:49.916	0.04589	69.895	100.0	58240.0	69.89	Close	2018-10-24 00:00:00	1540411322042	1269122	69.75	12042206838	74.16	2018-10-24 13:30:00.352	225.45	74.25	New York Stock Exchange	Technology	84.97	44.98	0.454424487466884
CBLK	485460	close	-1.38	-0.07298	17.53	2018-10-24 20:00:00.557	Carbon Black Inc.	17.53	2018-10-24 20:00:00.557	0.0	0.0	17.53	2018-10-24 20:41:04.000	19.21	0.0	0.0	0.0	0.0	2018-10-24 19:57:25.765	0.03243	17.57	58.0	16330.0	17.53	Close	2018-10-24 00:00:00	1540411200557	503546	17.5	1189115838	19.0	2018-10-24 13:30:00.485		18.91	Nasdaq Global Select	Technology	35.0	16.33	-0.283088604845447
NOW	2261266	close	-11.57	-0.06365	170.21	2018-10-24 20:02:01.669	ServiceNow Inc.	170.21	2018-10-24 20:02:01.669	1.24	0.00729	171.45	2018-10-24 20:59:45.725	183.78	0.0	0.0	0.0	0.0	2018-10-24 19:59:57.117	0.05862	170.58	100.0	220832.0	170.21	Close	2018-10-24 00:00:00	1540411321669	3767178	169.65	30280359000	181.78	2018-10-24 13:30:00.657	-500.62	181.78	New York Stock Exchange	Technology	206.295	112.8401	0.3162938244894862
GILT	11475	close	-0.15	-0.0165	8.94	2018-10-24 20:00:00.534	Gilat Satellite Networks Ltd.	8.94	2018-10-24 20:00:00.534	0.16	0.0179	9.1	2018-10-24 13:11:41.039	9.13	0.0	0.0	0.0	0.0	1970-01-01 00:00:00.000	0.0	0.0	0.0	0.0	8.94	Close	2018-10-24 00:00:00	1540411200534	4437	8.91	489913010	9.13	2018-10-24 13:30:00.789		9.09	Nasdaq Global Select	Technology	9.34	6.59	0.09706119073869895
ENS	214000	close	-2.62	-0.03439	73.56	2018-10-24 20:02:00.911	EnerSys	73.56	2018-10-24 20:02:00.911	-0.009	-0.00012	73.551	2018-10-24 20:30:00.848	76.87	0.0	0.0	0.0	0.0	2018-10-24 19:58:50.304	0.03383	73.57	10.0	5295.0	73.56	Close	2018-10-24 00:00:00	1540411320911	156518	73.45	3098483948	76.3	2018-10-24 13:30:00.307	15.65	76.18	New York Stock Exchange	Technology	89.23	62.8455	0.06881258929670483
NH	219147	close	-0.02	-0.01325	1.49	2018-10-24 20:00:00.245	NantHealth Inc.	1.49	2018-10-24 20:00:00.245	0.02	0.01342	1.51	2018-10-24 19:59:27.868	1.69	0.0	0.0	0.0	0.0	2018-10-24 19:59:27.868	0.03165	1.51	100.0	10947.0	1.49	Close	2018-10-24 00:00:00	1540411200245	345877	1.434	163112748	1.5	2018-10-24 13:30:00.747	-1.84	1.51	Nasdaq Global Select	Technology	4.05	1.235	-0.544305900621118
SNE	1173408	close	-1.99	-0.03614	53.08	2018-10-24 20:02:02.373	Sony Corporation	53.08	2018-10-24 20:02:02.373	0.23	0.00433	53.31	2018-10-24 20:59:18.465	55.01	0.0	0.0	0.0	0.0	2018-10-24 19:59:50.167	0.0336	53.12	100.0	52636.0	53.08	Close	2018-10-24 00:00:00	1540411322373	1566548	53.07	67317745802	55.0	2018-10-24 13:30:00.854	14.99	55.07	New York Stock Exchange	Technology	61.02	36.93	0.16999074483556145
